0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,0.0,3.2512917986064953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.8458266904983307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8458266904983307
0.0,0.0,3.2512917986064953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.3350010667323398,2.3350010667323398,2.3350010667323398,2.3350010667323398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1526795099383853,2.1526795099383853,2.1526795099383853,0.0,2.1526795099383853,0.0,2.1526795099383853,0.0
0.0,0.0,2.3350010667323398,0.0,0.0,4.6700021334646795,0.0,0.0,0.0,2.3350010667323398,0.0,0.0,0.0,2.3350010667323398,0.0,0.0,0.0,0.0
8.537480071494992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.383306761993323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2512917986064953
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2512917986064953
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.502583597212991
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753875395819486
7.005003200197019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.675005333661698,0.0,2.3350010667323398,0.0,0.0,2.3350010667323398,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2512917986064953,0.0,0.0
0.0,0.0,0.0,0.0,2.8458266904983307,0.0,0.0,0.0,0.0,0.0,0.0,17.074960142989983,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.2512917986064953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8458266904983307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8458266904983307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.502583597212991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.2512917986064953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.2512917986064953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2512917986064953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
